...1,id,agency,allocation,title,brief_summary,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
0,NCT00484263,The Alfred,Randomized,The Long Term Effect of Inhaled Hypertonic Saline (6%) in Patients With Non Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to determine whether the daily inhalation of nebulised
      hypertonic saline (6%) will decrease the incidence of pulmonary exacerbations and increase
      the quality of life for people with non cystic fibrosis bronchiectasis.
",Completed,NA,Phase 3,Interventional,Number of pulmonary exacerbations,NA,2007-12-01,2009-10-01,2009-10-01,All,18 Years,N/A,1,40
1,NCT00728715,Hospital General de Requena,Randomized,Efficacy of Budesonide-Formoterol in Bronchiectasis,"
      Some studies have concluded that high-dose inhaled steroids (IS) are effective in the
      clinical control of patients with bronchiectasis, however the high doses needed provokes some
      adverse effects and lower doses are not effective. Combined treatment with budesonide and
      formoterol have demostrated to be effective in patients with asthma and COPD achieving the
      reduction of steroid dose thanks to the adition of a long-acting beta 2 agonists. There are
      no studies in the literature analysing the effect of combined treatment in patients with
      bronchiectasis. The objective of this study is to compare the efficacy and safety of
      formoterol-medium dose of budesonide in a single inhaler versus high-dose of budesonide in
      the clinical control of patientes with non-cystic fibrosis bronchiectasis.

      Study Design:

      Randomized (3 months) parallel groups study.

      Patients:

      Patients with bronchiectasis diagnosed by high-resolution CT scan and chronic obstructive
      airway obstruction.

      Exclusion:

      Asthma and current or past smokers.

      Methods:

      Run in period in all patients with high dose of budesonide (1600 mcg/day) for 3 months. After
      that, randomization into two groups: 1. The same treatment (1600 mcg/day of budesonide) or
      combined treatment with lower dose of budesonide (18 mcg/day of formoterol and 800 mcg of
      budesonide) in a single turbuhaler inhaler during 3 months.

      Studied variables:

      Clinical, functional, quality of life, microbiological and number of side effects.
",Completed,NA,N/A,Interventional,Health related quality of life (measured by St Gorge Respiratory Questionnaire),NA,2004-01-01,2005-01-01,2005-01-01,All,18 Years,80 Years,2,40
2,NCT00749866,University of Edinburgh,Randomized,Long Term Nebulised Gentamicin in Patients With Bronchiectasis,"
      The hypothesis of this randomized placebo controlled trial is that targeted nebulized
      gentamicin to the airways will reduce bacterial burden and limit neutrophil airways
      inflammation. If given long term this will improve symptoms, pulmonary physiology, exercise
      capacity and health related quality of life with a reduction in exacerbation frequency and
      health care utilization.
",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,Reduction in bacterial load,NA,2007-05-01,2009-08-01,2009-08-01,All,18 Years,70 Years,2,60
3,NCT00816309,NHS Lothian,Randomized,"Is Regular Chest Physiotherapy an Effective Treatment in Severe, Non Cystic Fibrosis Bronchiectasis?","
      Bronchiectasis is a chronic chest condition which causes a persistent cough and frequent
      chest infections. One of the main forms of treatment is chest physiotherapy. Physiotherapy is
      thought to improve cough and help clear the airways of sticky sputum. Traditionally,
      physiotherapy techniques can be awkward, but recently a new device (a simple mouthpiece,
      called the Acapella device) has been developed to make physiotherapy practise easier. This
      study aims to assess how helpful regular physiotherapy using a new mouthpiece is in patients
      with severe bronchiectasis.
",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,24 hour sputum volume and assessment of cough severity (Leicester Cough Questionnaire),NA,2007-10-01,2009-03-01,2008-12-01,All,60 Years,85 Years,2,20
4,NCT00868075,NHS Lothian,Randomized,Pulmonary Rehabilitation in Non Cystic Fibrosis Bronchiectasis,"
      The aim of our study is to ascertain whether chest physiotherapy + pulmonary rehabilitation
      is more efficacious than chest physiotherapy alone. The outcomes that will be used to assess
      effectiveness are relevant in terms of the direct benefit on the patient's health related
      quality of life.

      PLANNED STUDY: This randomized study will compare 8 weeks chest physiotherapy with 8 weeks
      chest physiotherapy plus pulmonary rehabilitation.
",Completed,"Adam T Hill, MD, FRCPE",Phase 4,Interventional,The primary endpoint of this study is improvement in exercise tolerance from an incremental walk test.,NA,2009-03-01,2011-08-01,2011-08-01,All,18 Years,75 Years,2,27
5,NCT00885521,Bayside Health,Randomized,Exercise Training in Patients With Non-cystic Fibrosis (CF) Bronchiectasis,"
      The aim of this project is to examine the short and long term effects of an 8 week, twice
      weekly, outpatient exercise training program for people with bronchiectasis. Participants
      will be randomly allocated to undergo a supervised exercise training program at The Alfred,
      Austin Hospital or Sir Charles Gairdner Hospital.

      The hypotheses of this study are:

        1. Patients with bronchiectasis who complete an exercise program will have a higher
           exercise capacity and better quality of life and these improvements will be sustained
           for up to 12 months after completion

        2. Exercise training will significantly reduce the incidence of pulmonary exacerbations,
           use of antibiotics and rate of hospitalisation
",Completed,"Annemarie L Lee, PhD",Phase 1,Interventional,Incremental Shuttle Walk Test Chronic Respiratory Disease questionnaire,NA,2009-02-01,2013-02-01,2013-02-01,All,20 Years,80 Years,2,39
6,NCT00889967,Aradigm Corporation,Randomized,"Safety and Efficacy Study of Ciprofloxacin for Inhalation in Patients With Non-Cystic Fibrosis Bronchiectasis ""ORBIT-1""","
      The purpose of this study is to evaluate the safety and efficacy of Ciprofloxacin for
      Inhalation in the treatment of patients with non-cystic fibrosis (CF) bronchiectasis.
",Completed,"Paul Bruinenberg, MBChB, MBA",Phase 2,Interventional,The primary efficacy endpoint is defined as the mean change in P. aeruginosa density in sputum (log10) CFU/gram of sputum from Baseline to Day 28.,NA,2010-02-01,2011-06-01,2011-04-01,All,18 Years,80 Years,3,95
7,NCT00930982,Bayer,Randomized,Evaluation of Cipro Inhale in Patients With Non-cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to find out if bacterial load in the airways can be reduced
      after inhalation of ciprofloxacin for 28 days.
",Completed,Bayer Study Director,Phase 2,Interventional,Change From Baseline in Total Bacterial Load in the Sputum at End of Treatment (Day 29).,NA,2009-06-01,2010-09-01,2010-09-01,All,18 Years,N/A,2,124
8,NCT01299181,University of Edinburgh,Randomized,A Trial of Atorvastatin as an Anti-Inflammatory Agent in Non-Cystic Fibrosis Bronchiectasis,"
      The investigators hypothesise that long term statin treatment will improve patients' symptoms
      through its anti-inflammatory effect. The beneficial effects on patient symptoms (cough,
      sputum volume, bacterial load, airway function, exercise tolerance, exacerbation frequency
      and health related quality of life) will be consequent on reduced neutrophilic airways
      inflammation.
",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,The primary endpoint of this study is a reduction in cough at 6 months compared to baseline as measured by the Leicester Cough Questionnaire score.,NA,2010-11-01,2013-08-01,2013-08-01,All,18 Years,75 Years,2,60
9,NCT01299194,University of Edinburgh,Randomized,Atorvastatin in Bronchiectasis in Patients With Pseudomonas Aeruginosa,"
      Statins are a class of drug used to prevent heart attacks and strokes by lowering blood
      cholesterol levels. They have also been found to have a beneficial ""side effect"" of lowering
      the level of inflammation in the body. This is thought to be one of the reasons they are
      effective in treating heart attacks and strokes. Laboratory experiments have shown that
      statins reduce lung inflammation in response to bacteria and this is a promising development
      for the treatment of chest infections.

      Bronchiectasis is a chronic disabling lung disease characterised by chronic sputum production
      and recurrent chest infections. 2/3 of patients are chronically colonised with bacteria
      (normally the lungs are sterile) and this leads inflammation in the lung and in the rest of
      the body.

      There are no effective treatments for bronchiectasis other than antibiotics for chest
      infections. With increasing antibiotic use, there is increasing antibiotic resistance and new
      treatments for this disease are needed.

      The investigators intend to study Atorvastatin in patients with bronchiectasis with
      colonization with pseudomonas aeruginosa. The investigators will give Atorvastatin to 16
      patients with this disease while 16 patients will receive placebo. This will be a crossover
      study where patients will receive atorvastatin or placebo for 3 months, followed by a statin
      wash out period of 6 weeks. Thereafter the groups will cross over and the group receiving
      atorvastatin will now receive placebo and those receiving placebo will receive atorvastatin
      for 3 months. The investigators will measure inflammation in their lungs and in the rest of
      their body before and after treatment with atorvastatin. The investigators will also assess
      their quality of life and number of chest infections over a 7.5 month period.

      This pilot study will determine if there is any role for statins are an anti-inflammatory
      agent in patients with bronchiectasis.
",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,The primary endpoint of this study is a reduction in cough at 3 months compared to baseline as measured by the Leicester Cough Questionnaire score.,NA,2010-11-01,2017-05-01,2015-06-01,All,18 Years,80 Years,2,32
