id,keyword,value
NCT00484263,Exacerbation,TRUE
NCT00484263,ClinicallyStable,TRUE
NCT00728715,ClinicallyStable,TRUE
NCT00749866,Exacerbation,TRUE
NCT00749866,ClinicallyStable,TRUE
NCT00885521,Exacerbation,TRUE
NCT00885521,ClinicallyStable,TRUE
NCT00889967,Exacerbation,TRUE
NCT00889967,PA,TRUE
NCT00930982,ClinicallyStable,TRUE
NCT01299181,PA,TRUE
NCT01299181,ClinicallyStable,TRUE
NCT01299194,PA,TRUE
NCT01463371,Exacerbation,TRUE
NCT01463371,ClinicallyStable,TRUE
NCT01515007,PA,TRUE
NCT01684683,Exacerbation,TRUE
NCT01684683,ClinicallyStable,TRUE
NCT01764841,ClinicallyStable,TRUE
NCT01792440,Exacerbation,TRUE
NCT01792440,ClinicallyStable,TRUE
NCT01818544,Exacerbation,TRUE
NCT01818544,ClinicallyStable,TRUE
NCT02081963,Exacerbation,TRUE
NCT02081963,PA,TRUE
NCT02088216,Exacerbation,TRUE
NCT02088216,ClinicallyStable,TRUE
NCT02096315,Exacerbation,TRUE
NCT02096315,PA,TRUE
NCT02104245,Exacerbation,TRUE
NCT02104245,PA,TRUE
NCT02106832,ClinicallyStable,TRUE
NCT02163642,Exacerbation,TRUE
NCT02324855,Exacerbation,TRUE
NCT02324855,ClinicallyStable,TRUE
NCT02411981,ClinicallyStable,TRUE
NCT02531984,Exacerbation,TRUE
NCT02563197,Exacerbation,TRUE
NCT02563197,ClinicallyStable,TRUE
NCT02614300,Exacerbation,TRUE
NCT02614300,ClinicallyStable,TRUE
NCT02625246,Exacerbation,TRUE
NCT02657473,Exacerbation,TRUE
NCT02661438,Exacerbation,TRUE
NCT02712983,Exacerbation,TRUE
NCT02712983,PA,TRUE
NCT02712983,ClinicallyStable,TRUE
NCT02782312,Exacerbation,TRUE
NCT02782312,ClinicallyStable,TRUE
NCT02823587,ClinicallyStable,TRUE
NCT02883101,Exacerbation,TRUE
NCT03093974,Exacerbation,TRUE
NCT03093974,PA,TRUE
NCT03093974,ClinicallyStable,TRUE
NCT03147651,Exacerbation,TRUE
NCT03218917,Exacerbation,TRUE
NCT03428334,Exacerbation,TRUE
NCT03428334,ClinicallyStable,TRUE
NCT03460704,Exacerbation,TRUE
NCT03460704,PA,TRUE
NCT03460704,ClinicallyStable,TRUE
NCT03818646,Exacerbation,TRUE
NCT03988816,Exacerbation,TRUE
NCT04010799,Exacerbation,TRUE
NCT04010799,ClinicallyStable,TRUE
NCT04017312,Exacerbation,TRUE
NCT04017312,ClinicallyStable,TRUE
NCT04090294,ClinicallyStable,TRUE
NCT04122547,Exacerbation,TRUE
NCT04170114,Exacerbation,TRUE
NCT04278040,Exacerbation,TRUE
NCT04278040,ClinicallyStable,TRUE
NCT04322929,Exacerbation,TRUE
NCT04322929,ClinicallyStable,TRUE
NCT04538859,Exacerbation,TRUE
NCT04538859,ClinicallyStable,TRUE
NCT04594369,Exacerbation,TRUE
NCT04643587,Exacerbation,TRUE
NCT04643587,PA,TRUE
NCT04643587,ClinicallyStable,TRUE
NCT04656275,Exacerbation,TRUE
NCT04656275,ClinicallyStable,TRUE
NCT04658277,Exacerbation,TRUE
NCT04658277,ClinicallyStable,TRUE
NCT05006573,Exacerbation,TRUE
NCT05006573,ClinicallyStable,TRUE
NCT05369624,Exacerbation,TRUE
NCT05369624,ClinicallyStable,TRUE
