id,city,state,country,lon,lat
NCT00484263,Melbourne,Victoria,Australia,144.9630576,-37.8136276
NCT00728715,Valencia,NA,Spain,-0.7532808999999999,39.4840108
NCT00749866,Edinburgh,Lothian,United Kingdom,-3.188267,55.953252
NCT00816309,Edinburgh,Scotland,United Kingdom,-3.188267,55.953252
NCT00868075,Edinburgh,Scotland,United Kingdom,-3.188267,55.953252
NCT00885521,Melbourne,Victoria,Australia,144.9630576,-37.8136276
NCT00885521,Melbourne,Victoria,Australia,144.9630576,-37.8136276
NCT00885521,Perth,Western Australia,Australia,115.861309,-31.9523123
NCT00889967,Phoenix,Arizona,United States,-112.0740373,33.4483771
NCT00889967,Los Angeles,California,United States,-118.2436849,34.0522342
NCT00889967,Sacramento,California,United States,-121.4943996,38.5815719
NCT00889967,Torrance,California,United States,-118.3406288,33.8358492
NCT00889967,Waterbury,Connecticut,United States,-73.0514965,41.5581525
NCT00889967,Brandon,Florida,United States,-82.2859247,27.937801
NCT00889967,Miami,Florida,United States,-80.1917902,25.7616798
NCT00889967,Council Bluffs,Iowa,United States,-95.8608333,41.2619444
NCT00889967,Summit,New Jersey,United States,-74.3646122,40.7146376
NCT00889967,New York,New York,United States,-74.0059728,40.7127753
NCT00889967,Elizabeth City,North Carolina,United States,-76.2510461,36.2946008
NCT00889967,Toledo,Ohio,United States,-83.5378674,41.6528052
NCT00889967,Philadelphia,Pennsylvania,United States,-75.1652215,39.9525839
NCT00889967,McKinney,Texas,United States,-96.6389342,33.1983388
NCT00889967,Calgary,Alberta,Canada,-114.0718831,51.04473309999999
NCT00889967,Kelowna,British Columbia,Canada,-119.4960106,49.8879519
NCT00889967,Vancouver,British Columbia,Canada,-123.1207375,49.2827291
NCT00889967,Vancouver,British Columbia,Canada,-123.1207375,49.2827291
NCT00889967,Ottawa,Ontario,Canada,-75.69719309999999,45.4215296
NCT00889967,Montreal,Quebec,Canada,-73.567256,45.5016889
NCT00889967,St. Jerome,Quebec,Canada,-74.004948,45.775357
NCT00889967,Berlin,NA,Germany,13.404954,52.52000659999999
NCT00889967,Donaustauf,NA,Germany,12.2073854,49.0324537
NCT00889967,Heidelberg,NA,Germany,8.6724335,49.3987524
NCT00889967,Neuwied,NA,Germany,7.4664546,50.4361866
NCT00889967,Belfast,Britain,United Kingdom,-5.93012,54.59728500000001
NCT00889967,Birmingham,Britain,United Kingdom,-1.890401,52.48624299999999
NCT00889967,Bradford,Britain,United Kingdom,-1.7563583,53.7937996
NCT00889967,Manchester,Britain,United Kingdom,-2.2426305,53.4807593
NCT00889967,Newcastle upon Tyne,"Freeman Road, High Heaton",United Kingdom,-1.5949955,55.0001588
NCT00889967,London,High Street Lewisham,United Kingdom,-0.0131307,51.4579512
NCT00889967,Birmingham,NA,United Kingdom,-1.890401,52.48624299999999
NCT00889967,Glasgow,NA,United Kingdom,-4.251806,55.864237
NCT00889967,London,NA,United Kingdom,-0.1275862,51.5072178
NCT00889967,Salford,NA,United Kingdom,-2.2901264,53.48752349999999
NCT00889967,Stoke on Trent,NA,United Kingdom,-2.1827408,53.0033369
NCT00889967,Tyne and Wear,NA,United Kingdom,-1.5666991,54.9951837
NCT00930982,Little Rock,Arkansas,United States,-92.2880157,34.7444618
NCT00930982,La Jolla,California,United States,-117.2712717,32.8328112
NCT00930982,Denver,Colorado,United States,-104.990251,39.7392358
NCT00930982,Farmington,Connecticut,United States,-72.79502699999999,41.7360305
NCT00930982,Washington,District of Columbia,United States,-77.0368707,38.9071923
NCT00930982,Naples,Florida,United States,-81.7948103,26.1420358
NCT00930982,Michigan City,Indiana,United States,-86.8950297,41.70753939999999
NCT00930982,Mineola,New York,United States,-73.64068449999999,40.7492678
NCT00930982,Houston,Texas,United States,-95.3698028,29.7604267
NCT00930982,Tyler,Texas,United States,-95.30106239999999,32.3512601
