,id,agency,allocation,title,brief_summary,ie,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
0,NCT00484263,The Alfred,Randomized,The Long Term Effect of Inhaled Hypertonic Saline (6%) in Patients With Non Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to determine whether the daily inhalation of nebulised
      hypertonic saline (6%) will decrease the incidence of pulmonary exacerbations and increase
      the quality of life for people with non cystic fibrosis bronchiectasis.
    ","
        Inclusion Criteria:

          -  diagnosis of bronchiectasis on high resolution computer tomography

          -  at least 2 respiratory exacerbations per year over the past 2 years

          -  producing sputum daily

          -  in a stable clinical state

          -  over 18 years of age.

        Exclusion Criteria:

          -  cystic fibrosis

          -  Positive response to hypertonic saline challenge - FEV 1 decreased by ≥ 15%

          -  FEV 1 ≤ 1L
      ",Completed,,Phase 3,Interventional,Number of pulmonary exacerbations,,December 2007,October 2009,October 2009,All,18 Years,N/A,1,40
1,NCT00728715,Hospital General de Requena,Randomized,Efficacy of Budesonide-Formoterol in Bronchiectasis,"
      Some studies have concluded that high-dose inhaled steroids (IS) are effective in the
      clinical control of patients with bronchiectasis, however the high doses needed provokes some
      adverse effects and lower doses are not effective. Combined treatment with budesonide and
      formoterol have demostrated to be effective in patients with asthma and COPD achieving the
      reduction of steroid dose thanks to the adition of a long-acting beta 2 agonists. There are
      no studies in the literature analysing the effect of combined treatment in patients with
      bronchiectasis. The objective of this study is to compare the efficacy and safety of
      formoterol-medium dose of budesonide in a single inhaler versus high-dose of budesonide in
      the clinical control of patientes with non-cystic fibrosis bronchiectasis.

      Study Design:

      Randomized (3 months) parallel groups study.

      Patients:

      Patients with bronchiectasis diagnosed by high-resolution CT scan and chronic obstructive
      airway obstruction.

      Exclusion:

      Asthma and current or past smokers.

      Methods:

      Run in period in all patients with high dose of budesonide (1600 mcg/day) for 3 months. After
      that, randomization into two groups: 1. The same treatment (1600 mcg/day of budesonide) or
      combined treatment with lower dose of budesonide (18 mcg/day of formoterol and 800 mcg of
      budesonide) in a single turbuhaler inhaler during 3 months.

      Studied variables:

      Clinical, functional, quality of life, microbiological and number of side effects.
    ","
        Inclusion Criteria:

          -  18-80 years old patients diagnosed of non-cystic fibrosis bronchiectasis

          -  More than 1 pulmonary lobe affected

          -  Chronic obstructive airflow obstruction

          -  Stable phase of the disease

        Exclusion Criteria:

          -  Asthma, COPD or current/past smnokers

          -  No consent

          -  Known intolerance to budesonide or formoterol
      ",Completed,,N/A,Interventional,Health related quality of life (measured by St Gorge Respiratory Questionnaire),,January 2004,January 2005,January 2005,All,18 Years,80 Years,2,40
2,NCT00749866,University of Edinburgh,Randomized,Long Term Nebulised Gentamicin in Patients With Bronchiectasis,"
      The hypothesis of this randomized placebo controlled trial is that targeted nebulized
      gentamicin to the airways will reduce bacterial burden and limit neutrophil airways
      inflammation. If given long term this will improve symptoms, pulmonary physiology, exercise
      capacity and health related quality of life with a reduction in exacerbation frequency and
      health care utilization.
    ","
        Inclusion Criteria:

          -  Bronchiectasis confirmed by HRCT of the chest

          -  Clinically stable (not requiring antibiotics for at least 4 weeks preceding the study
             start date)

          -  Aged 18-70

          -  Chronic sputum production > 5 mls for the majority of days in 3 months before
             enrolment

          -  Chronically colonized (on at least 2 occasions in the preceding 12 months) whilst
             clinically stable

          -  At least two exacerbations in the past year

          -  Patients able to tolerate a nebulized gentamicin challenge

          -  FEV1 > 30% predicted

          -  Smoking < 20 pack year history and ex-smokers >1 year.

        Exclusion Criteria:

          -  Cystic fibrosis

          -  Emphysema on HRCT chest

          -  Thoracic surgery within the past 1 year

          -  Allergic bronchopulmonary aspergillosis

          -  Poorly controlled asthma ( > 20% diurnal variation in peak expiratory flows despite
             treatment)

          -  Unstable angina or uncontrolled congestive cardiac failure

          -  Active malignancy

          -  Pregnancy or breast feeding

          -  Creatinine clearance < 30 mls/minute

          -  Vestibular instability

          -  Previous documented intolerance to aminoglycosides
      ",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,Reduction in bacterial load,,May 2007,August 2009,August 2009,All,18 Years,70 Years,2,60
3,NCT00816309,NHS Lothian,Randomized,"Is Regular Chest Physiotherapy an Effective Treatment in Severe, Non Cystic Fibrosis Bronchiectasis?","
      Bronchiectasis is a chronic chest condition which causes a persistent cough and frequent
      chest infections. One of the main forms of treatment is chest physiotherapy. Physiotherapy is
      thought to improve cough and help clear the airways of sticky sputum. Traditionally,
      physiotherapy techniques can be awkward, but recently a new device (a simple mouthpiece,
      called the Acapella device) has been developed to make physiotherapy practise easier. This
      study aims to assess how helpful regular physiotherapy using a new mouthpiece is in patients
      with severe bronchiectasis.
    ","
        Inclusion Criteria:

          -  Moderate and Severe Bronchiectasis

          -  No regular chest physiotherapy

        Exclusion Criteria:

          -  Moderate or Severe COPD
      ",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,24 hour sputum volume and assessment of cough severity (Leicester Cough Questionnaire),,October 2007,March 2009,December 2008,All,60 Years,85 Years,2,20
4,NCT00868075,NHS Lothian,Randomized,Pulmonary Rehabilitation in Non Cystic Fibrosis Bronchiectasis,"
      The aim of our study is to ascertain whether chest physiotherapy + pulmonary rehabilitation
      is more efficacious than chest physiotherapy alone. The outcomes that will be used to assess
      effectiveness are relevant in terms of the direct benefit on the patient's health related
      quality of life.

      PLANNED STUDY: This randomized study will compare 8 weeks chest physiotherapy with 8 weeks
      chest physiotherapy plus pulmonary rehabilitation.
    ","
        Inclusion Criteria:

          -  Patients with moderate and severe bronchiectasis aged 18-75 will be recruited.
             Severity will be assessed radiologically by HRCT of the chest using the scoring method
             by Bhalla et al.

        Exclusion Criteria:

          -  cystic fibrosis

          -  emphysema on HRCT chest and FEV1<60% predicted

          -  active allergic bronchopulmonary aspergillosis or tuberculosis

          -  poorly controlled asthma

          -  pregnancy or breast feeding

          -  current smokers
      ",Completed,"Adam T Hill, MD, FRCPE",Phase 4,Interventional,The primary endpoint of this study is improvement in exercise tolerance from an incremental walk test.,,March 2009,August 2011,August 2011,All,18 Years,75 Years,2,27
5,NCT00885521,Bayside Health,Randomized,Exercise Training in Patients With Non-cystic Fibrosis (CF) Bronchiectasis,"
      The aim of this project is to examine the short and long term effects of an 8 week, twice
      weekly, outpatient exercise training program for people with bronchiectasis. Participants
      will be randomly allocated to undergo a supervised exercise training program at The Alfred,
      Austin Hospital or Sir Charles Gairdner Hospital.

      The hypotheses of this study are:

        1. Patients with bronchiectasis who complete an exercise program will have a higher
           exercise capacity and better quality of life and these improvements will be sustained
           for up to 12 months after completion

        2. Exercise training will significantly reduce the incidence of pulmonary exacerbations,
           use of antibiotics and rate of hospitalisation
    ","
        Inclusion Criteria:

          -  Diagnosis of bronchiectasis (HRCT)

          -  Stable medical status for last 4 weeks

          -  History of 2 exacerbations in the last 2 years

          -  Dysnpoea on exertion (Modified Medical Research Council score >1)

        Exclusion Criteria:

          -  Concurrent diagnosis of COPD (physician diagnosis and history of 10 pack year smoking)

          -  Concurrent diagnosis of asthma (history of atopic disease and evidence of
             bronchodilator reversibility of 12% or 200ml in FEV1 or FVC)

          -  Concurrent diagnosis of Interstitial lung disease

          -  Concurrent diagnosis of Cystic Fibrosis

          -  Medical condition which could place patient at risk during exercise training (angina,
             neurological or orthopaedic condition)

          -  Prior completion of pulmonary rehabilitation within the last 12 months
      ",Completed,"Annemarie L Lee, PhD",Phase 1,Interventional,Incremental Shuttle Walk Test Chronic Respiratory Disease questionnaire,,February 2009,February 2013,February 2013,All,20 Years,80 Years,2,39
6,NCT00889967,Aradigm Corporation,Randomized,"Safety and Efficacy Study of Ciprofloxacin for Inhalation in Patients With Non-Cystic Fibrosis Bronchiectasis ""ORBIT-1""","
      The purpose of this study is to evaluate the safety and efficacy of Ciprofloxacin for
      Inhalation in the treatment of patients with non-cystic fibrosis (CF) bronchiectasis.
    ","
        Inclusion Criteria:

          1. Are willing and able to provide written informed consent.

          2. Are males or females 18 to 80 year of age, inclusive.

          3. Have had a confirmed diagnosis of non-CF bronchiectasis per high resolution computed
             tomography (HRCT) for at least 4 years.

          4. Confirmation of infection with P. aeruginosa at screening

        Exclusion Criteria:

          1. Have a known local or systemic hypersensitivity to fluoroquinolone or quinolone
             antibiotics.

          2. Have an exacerbation during the Screening Phase as defined as requiring treatment with
             inhaled, oral, or intravenous antibiotics prior to the first dose of study drug.

          3. Have a diagnosis of cystic fibrosis..

          4. Have had changes in either the treatment regimen or initiation of treatment with any
             of the following medications within 28 days prior to Visit 1:

               -  Azithromycin

               -  Hypertonic saline

               -  Bronchodilator medications

               -  Oral corticosteroid.

          5. Have received an investigational drug or device within 28 days prior to Visit 1.

          6. Have any serious or active medical or psychiatric illness, which in the opinion of the
             investigator, would interfere with patients' treatment, assessment, or compliance with
             the protocol.
      ",Completed,"Paul Bruinenberg, MBChB, MBA",Phase 2,Interventional,The primary efficacy endpoint is defined as the mean change in P. aeruginosa density in sputum (log10) CFU/gram of sputum from Baseline to Day 28.,,February 2010,June 2011,April 2011,All,18 Years,80 Years,3,95
7,NCT00930982,Bayer,Randomized,Evaluation of Cipro Inhale in Patients With Non-cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to find out if bacterial load in the airways can be reduced
      after inhalation of ciprofloxacin for 28 days.
    ","
        Inclusion Criteria:

          -  Patients with a proven and documented diagnosis of non-cystic fibrosis idiopathic or
             post pneumonic bronchiectasis

          -  Stable pulmonary status and stable regimen of standard treatment at least for the past
             30 days

        Exclusion Criteria:

          -  Forced Expiratory Volume 1 < 35% or > 80%

          -  Allergic bronchopulmonary aspergillosis

          -  Immunodeficiency disease requiring immunoglobulin replacement

          -  Inflammatory bowel disease
      ",Completed,Bayer Study Director,Phase 2,Interventional,Change From Baseline in Total Bacterial Load in the Sputum at End of Treatment (Day 29).,,June 2009,September 2010,September 2010,All,18 Years,N/A,2,124
8,NCT01299181,University of Edinburgh,Randomized,A Trial of Atorvastatin as an Anti-Inflammatory Agent in Non-Cystic Fibrosis Bronchiectasis,"
      The investigators hypothesise that long term statin treatment will improve patients' symptoms
      through its anti-inflammatory effect. The beneficial effects on patient symptoms (cough,
      sputum volume, bacterial load, airway function, exercise tolerance, exacerbation frequency
      and health related quality of life) will be consequent on reduced neutrophilic airways
      inflammation.
    ","
        Inclusion Criteria:

          -  Patients aged 18-75 will be recruited. All will have an established radiological
             diagnosis of bronchiectasis (CT of the chest). Patients will have clinically
             significant bronchiectasis expectorating mucopurulent or purulent sputum when
             clinically stable with at least 2 chest infections per year.

        Exclusion Criteria:

          -  current smokers or ex-smokers of less than 1 year; >15 pack year history

          -  cystic fibrosis

          -  active allergic bronchopulmonary aspergillosis

          -  active tuberculosis

          -  poorly controlled asthma

          -  pregnancy or breast feeding

          -  known allergy to statins

          -  active malignancy

          -  chronic liver disease

          -  established cardiovascular or cerebrovascular disease

          -  statin use in the last year

          -  patients on long term oral macrolides due to the interaction with statin therapy
             patients chronically colonised with Pseudomonas aeruginosa (defined as two or more
             isolates of Pseudomonas aeruginosa whilst clinically stable in 6 months prior to the
             study).
      ",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,The primary endpoint of this study is a reduction in cough at 6 months compared to baseline as measured by the Leicester Cough Questionnaire score.,,November 2010,August 2013,August 2013,All,18 Years,75 Years,2,60
9,NCT01299194,University of Edinburgh,Randomized,Atorvastatin in Bronchiectasis in Patients With Pseudomonas Aeruginosa,"
      Statins are a class of drug used to prevent heart attacks and strokes by lowering blood
      cholesterol levels. They have also been found to have a beneficial ""side effect"" of lowering
      the level of inflammation in the body. This is thought to be one of the reasons they are
      effective in treating heart attacks and strokes. Laboratory experiments have shown that
      statins reduce lung inflammation in response to bacteria and this is a promising development
      for the treatment of chest infections.

      Bronchiectasis is a chronic disabling lung disease characterised by chronic sputum production
      and recurrent chest infections. 2/3 of patients are chronically colonised with bacteria
      (normally the lungs are sterile) and this leads inflammation in the lung and in the rest of
      the body.

      There are no effective treatments for bronchiectasis other than antibiotics for chest
      infections. With increasing antibiotic use, there is increasing antibiotic resistance and new
      treatments for this disease are needed.

      The investigators intend to study Atorvastatin in patients with bronchiectasis with
      colonization with pseudomonas aeruginosa. The investigators will give Atorvastatin to 16
      patients with this disease while 16 patients will receive placebo. This will be a crossover
      study where patients will receive atorvastatin or placebo for 3 months, followed by a statin
      wash out period of 6 weeks. Thereafter the groups will cross over and the group receiving
      atorvastatin will now receive placebo and those receiving placebo will receive atorvastatin
      for 3 months. The investigators will measure inflammation in their lungs and in the rest of
      their body before and after treatment with atorvastatin. The investigators will also assess
      their quality of life and number of chest infections over a 7.5 month period.

      This pilot study will determine if there is any role for statins are an anti-inflammatory
      agent in patients with bronchiectasis.
    ","
        Inclusion Criteria:

          -  Patients aged 18-80 will be recruited.

          -  All will have an established radiological diagnosis of bronchiectasis (CT of the
             chest).

          -  Patients colonised with Pseudomonas Aeruginosa.

          -  Able to give informed consent.

        Exclusion Criteria:

          -  Current smokers or ex-smokers of less than 1 year; >15 pack year history

          -  Cystic fibrosis

          -  Active allergic bronchopulmonary aspergillosis

          -  Active tuberculosis

          -  Poorly controlled asthma

          -  Pregnancy or breast feeding

          -  Known allergy to statins

          -  Active malignancy

          -  Chronic liver disease

          -  Established cardiovascular or cerebrovascular disease

          -  Statin use in the last year
      ",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,The primary endpoint of this study is a reduction in cough at 3 months compared to baseline as measured by the Leicester Cough Questionnaire score.,,November 2010,May 2017,June 2015,All,18 Years,80 Years,2,32
