id,keyword,value
NCT00484263,Exacerbation,TRUE
NCT00728715,QOL,TRUE
NCT00728715,Spirometry,TRUE
NCT00749866,Exacerbation,TRUE
NCT00749866,QOL,TRUE
NCT00749866,Spirometry,TRUE
NCT00816309,Spirometry,TRUE
NCT00868075,QOL,TRUE
NCT00889967,Exacerbation,TRUE
NCT00889967,QOL,TRUE
NCT00889967,Spirometry,TRUE
NCT00930982,Exacerbation,TRUE
NCT00930982,QOL,TRUE
NCT00930982,Spirometry,TRUE
NCT01299181,Exacerbation,TRUE
NCT01299181,QOL,TRUE
NCT01299194,Exacerbation,TRUE
NCT01299194,QOL,TRUE
NCT01313624,Exacerbation,TRUE
NCT01313624,QOL,TRUE
NCT01314716,Exacerbation,TRUE
NCT01314716,QOL,TRUE
NCT01463371,Exacerbation,TRUE
NCT01463371,QOL,TRUE
NCT01515007,Exacerbation,TRUE
NCT01684683,Exacerbation,TRUE
NCT01764841,Exacerbation,TRUE
NCT01764841,QOL,TRUE
NCT01764841,Spirometry,TRUE
NCT01801657,Exacerbation,TRUE
NCT01801657,QOL,TRUE
NCT01818544,Spirometry,TRUE
NCT02035488,Spirometry,TRUE
NCT02081963,Spirometry,TRUE
NCT02088216,Exacerbation,TRUE
NCT02088216,Spirometry,TRUE
NCT02104245,Exacerbation,TRUE
NCT02106832,Exacerbation,TRUE
NCT02106832,QOL,TRUE
NCT02106832,Spirometry,TRUE
NCT02324855,Exacerbation,TRUE
NCT02324855,QOL,TRUE
NCT02392663,Spirometry,TRUE
NCT02411981,Spirometry,TRUE
NCT02507843,Exacerbation,TRUE
NCT02507843,QOL,TRUE
NCT02531984,Exacerbation,TRUE
NCT02614300,Exacerbation,TRUE
NCT02614300,QOL,TRUE
NCT02614300,Spirometry,TRUE
NCT02625246,Exacerbation,TRUE
NCT02625246,QOL,TRUE
NCT02657473,Exacerbation,TRUE
NCT02712983,Exacerbation,TRUE
NCT02712983,QOL,TRUE
NCT02782312,Exacerbation,TRUE
NCT02782312,QOL,TRUE
NCT02782312,Spirometry,TRUE
NCT02823587,QOL,TRUE
NCT02823587,Spirometry,TRUE
NCT02883101,QOL,TRUE
NCT03056326,Spirometry,TRUE
NCT03093974,Exacerbation,TRUE
NCT03093974,QOL,TRUE
NCT03147651,Spirometry,TRUE
NCT03218917,Exacerbation,TRUE
NCT03218917,QOL,TRUE
NCT03218917,Spirometry,TRUE
NCT03460704,Exacerbation,TRUE
NCT03460704,QOL,TRUE
NCT03818646,QOL,TRUE
NCT03988816,QOL,TRUE
NCT04010799,Spirometry,TRUE
NCT04017312,Exacerbation,TRUE
NCT04017312,QOL,TRUE
NCT04017312,Spirometry,TRUE
NCT04090294,Spirometry,TRUE
NCT04170114,Spirometry,TRUE
NCT04278040,QOL,TRUE
NCT04322929,QOL,TRUE
NCT04509661,Exacerbation,TRUE
NCT04509661,Spirometry,TRUE
NCT04538859,Exacerbation,TRUE
NCT04594369,Exacerbation,TRUE
NCT04594369,QOL,TRUE
NCT04594369,Spirometry,TRUE
NCT04656275,Spirometry,TRUE
NCT04658277,Exacerbation,TRUE
NCT05006573,Exacerbation,TRUE
NCT05006573,QOL,TRUE
NCT05006573,Spirometry,TRUE
NCT05369624,Exacerbation,TRUE
NCT05369624,QOL,TRUE
