,id,measure,time_frame,description
0,NCT00484263,Number of pulmonary exacerbations,One year,
1,NCT00728715,Health related quality of life (measured by St Gorge Respiratory Questionnaire),at 3 and 6 months,
2,NCT00749866,Reduction in bacterial load,1 year,
3,NCT00816309,24 hour sputum volume and assessment of cough severity (Leicester Cough Questionnaire),3 months,
4,NCT00868075,The primary endpoint of this study is improvement in exercise tolerance from an incremental walk test.,8 weeks,
5,NCT00885521,Incremental Shuttle Walk Test Chronic Respiratory Disease questionnaire,July 2011,
6,NCT00889967,The primary efficacy endpoint is defined as the mean change in P. aeruginosa density in sputum (log10) CFU/gram of sputum from Baseline to Day 28.,28 days,
7,NCT00930982,Change From Baseline in Total Bacterial Load in the Sputum at End of Treatment (Day 29).,Baseline and 29 days,"Total bacterial load was determined in sputum collected before the inhalation of study drug. Sputum samples were either provided by the participant during the respective study visit, or participants had to bring a sputum sample that had been produced within the 4 hours prior to the visit. Induced sputum samples could be collected if the participant was unable to produce a spontaneously expectorated sputum sample of > 2 mL. Imputation method: last observation carried forward (LOCF). CFU: colony forming units, log10: decadic logarithm"
8,NCT01299181,The primary endpoint of this study is a reduction in cough at 6 months compared to baseline as measured by the Leicester Cough Questionnaire score.,6 months,
9,NCT01299194,The primary endpoint of this study is a reduction in cough at 3 months compared to baseline as measured by the Leicester Cough Questionnaire score.,7.5 months,
10,NCT01313624,Change in QOL-B Respiratory Symptoms Score at Day 28,Baseline to Day 28,"The mean (SD) change in the Respiratory Symptoms score on the Quality of Life Questionnaire-Bronchiectasis (QOL-B) was measured from baseline to the end of Course 1 (Day 28). The QOL-B respiratory symptoms score was transformed onto a scale of 0-100, with higher scores representing a better quality of life."
11,NCT01314716,Change in QOL-B Respiratory Symptoms Score at Day 28,Baseline to Day 28,"The mean (SD) change in the Respiratory Symptoms score on the Quality of Life Questionnaire-Bronchiectasis (QOL-B) was measured from baseline to the end of Course 1 (Day 28). The QOL-B respiratory symptoms score was transformed onto a scale of 0-100, with higher scores representing a better quality of life."
12,NCT01463371,"Changes in Nitric oxide,8-isoprostane, pH, nitrites (NO2) and nitrates(NO3) in exhaled breath condensate.",Before and after three months of treatment,"Oxidative stress and NO metabolism in airway were investigated by measuring pH and the concentration of 8-isoprostane, nitrites (NO2-) and nitrates (NO3-) in EBC. Exhaled NO was also determined in all patients."
13,NCT01515007,Time to first exacerbation,One Year,
14,NCT01684683,Scores of the St.George's Respiratory Questionnaire,At 24 weeks,
15,NCT01764841,Time to First Exacerbation Event Within 48 Weeks,Up to Week 48,Time to first exacerbation was defined as the time from randomization until the visit at which the first qualifying exacerbation is recorded by the investigator. Exacerbation events are defined as exacerbations with systemic antibiotic use and presence of fever or malaise / fatigue and worsening of at least three signs/symptoms.
16,NCT01792427,overall survival,6 years 4 months,
17,NCT01792440,Assess predictive value of sputum colour chart to evaluate airway inflammation,10 months,Airway inflammation will be assessed by analysis of sputum differential cell counts and cytokine/chemokine analysis in sputum.
18,NCT01801657,The prevalence of respiratory virus infection in adults with bronchiectasis during a pulmonary exacerbation and when clinically stable.,1 year,"Respiratory viruses in the nasal swab and sputum will be identified using the polymerase chain reaction(PCR)technique when clinically stable and during exacerbation.The following viruses will be tested for:influenza A,B(including influenza A H1N1),respiratory syncytial virus(RSV),Enterovirus,Parainfluenza 1-4,Rhinovirus,human Coronaviruses(subtypes OC43、229E、HKU1),human metapneumovirus,adenovirus, human bocavirus,chlamydia,mycoplasma."
19,NCT01818544,Number Of Subjects Who Need To Discontinue Study Medication Due To Findings In Physical Examination,From start of study treatment up to follow up visit (28 days after last dose),
20,NCT01818544,"Change From Baseline in Systolic Blood Pressure At Days 7, 14, 21, 28, 56","Baseline (Day 1), Day 7, 14, 21, 28, 56",
21,NCT01818544,"Change From Baseline in Diastolic Blood Pressure At Days 7, 14, 21, 28, 56","Baseline (Day 1), Day 7, 14, 21, 28, 56",
22,NCT01818544,"Change From Baseline in Heart Rate At Days 7, 14, 21, 28, 56","Baseline (Day 1), Day 7, 14, 21, 28, 56",
23,NCT01818544,Number of Subjects With new Abnormal (Pathologic) Electrocardiogram (ECG) Findings From Baseline to Day 28,"Baseline (Day 1), Day 7, 14, 21, 28",
24,NCT01818544,"Number of Subjects who Show Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST), Total Bilirubin (TB) Abnormalities in Their Safety Lab Assessment","Baseline (Day 1), Day 7, 14, 21, 28, 56",
25,NCT01818544,Number of Subjects With Drug Related Adverse Events as a Measure of Safety And Tolerability,"Baseline (Day 1), Day 7, 14, 21, 28, 56",
26,NCT01854788,Weight of sputum expectorated during each airway clearance therapy session,40 minutes,Wet weight sputum production were recollected in one pre-weighted containers. It was measured in grams.
27,NCT01854788,Weight of sputum expectorated 24 hours post each bronchial session,24 hours,Wet weight sputum production were recollected in one pre-weighted containers. It was measured in grams.
28,NCT01906047,Death,6 years,"From June 2006 till October 2012, enrolled patients' medical file will be screened if death has occurred. If so, cause of death will be search for in the patients' file."
